Scenario,Region,Commodity,Period,PV,Option 
Transition DH compared to Conventional DH,DE,Variable costs ,-,-0.04031654,WEO-SD
Transition DH compared to Conventional DH,DE,Fixed O&M costs,-,-0.110320442,WEO-SD
Transition DH compared to Conventional DH,DE,Capital costs ,-,0.077793704,WEO-SD
Transition DH compared to Conventional DH,DE,Net ,-,-0.072843277,WEO-SD
Future DH compared to Conventional DH,DE,Variable costs ,-,-0.483883132,WEO-SD
Future DH compared to Conventional DH,DE,Fixed O&M costs,-,-0.101214871,WEO-SD
Future DH compared to Conventional DH,DE,Capital costs ,-,-0.325753697,WEO-SD
Future DH compared to Conventional DH,DE,Net ,-,-0.9108517,WEO-SD
Transition DH compared to Conventional DH,DE,Variable costs ,-,-0.174540158,WEO-NP
Transition DH compared to Conventional DH,DE,Fixed O&M costs,-,-0.001996211,WEO-NP
Transition DH compared to Conventional DH,DE,Capital costs ,-,0.03828094,WEO-NP
Transition DH compared to Conventional DH,DE,Net ,-,-0.138255428,WEO-NP
Future DH compared to Conventional DH,DE,Variable costs ,-,-0.987802502,WEO-NP
Future DH compared to Conventional DH,DE,Fixed O&M costs,-,0.000801386,WEO-NP
Future DH compared to Conventional DH,DE,Capital costs ,-,0.357511264,WEO-NP
Future DH compared to Conventional DH,DE,Net ,-,-0.629489851,WEO-NP
Transition DH compared to Conventional DH,DK,Variable costs ,-,-0.281551213,WEO-SD
Transition DH compared to Conventional DH,DK,Fixed O&M costs,-,0.073540801,WEO-SD
Transition DH compared to Conventional DH,DK,Capital costs ,-,0.196935106,WEO-SD
Transition DH compared to Conventional DH,DK,Net ,-,-0.011075306,WEO-SD
Future DH compared to Conventional DH,DK,Variable costs ,-,-0.155429207,WEO-SD
Future DH compared to Conventional DH,DK,Fixed O&M costs,-,-0.104999338,WEO-SD
Future DH compared to Conventional DH,DK,Capital costs ,-,-0.574338518,WEO-SD
Future DH compared to Conventional DH,DK,Net ,-,-0.834767064,WEO-SD
Transition DH compared to Conventional DH,DK,Variable costs ,-,-0.033278128,WEO-NP
Transition DH compared to Conventional DH,DK,Fixed O&M costs,-,0.010111813,WEO-NP
Transition DH compared to Conventional DH,DK,Capital costs ,-,0.031974408,WEO-NP
Transition DH compared to Conventional DH,DK,Net ,-,0.008808092,WEO-NP
Future DH compared to Conventional DH,DK,Variable costs ,-,-1.019109172,WEO-NP
Future DH compared to Conventional DH,DK,Fixed O&M costs,-,0.048676137,WEO-NP
Future DH compared to Conventional DH,DK,Capital costs ,-,0.322399755,WEO-NP
Future DH compared to Conventional DH,DK,Net ,-,-0.64803328,WEO-NP
Transition DH compared to Conventional DH,FR,Variable costs ,-,-0.044559186,WEO-SD
Transition DH compared to Conventional DH,FR,Fixed O&M costs,-,-0.044744941,WEO-SD
Transition DH compared to Conventional DH,FR,Capital costs ,-,0.021208359,WEO-SD
Transition DH compared to Conventional DH,FR,Net ,-,-0.068095768,WEO-SD
Future DH compared to Conventional DH,FR,Variable costs ,-,-0.368559272,WEO-SD
Future DH compared to Conventional DH,FR,Fixed O&M costs,-,-0.131114664,WEO-SD
Future DH compared to Conventional DH,FR,Capital costs ,-,-0.194778197,WEO-SD
Future DH compared to Conventional DH,FR,Net ,-,-0.694452133,WEO-SD
Transition DH compared to Conventional DH,FR,Variable costs ,-,-0.067342879,WEO-NP
Transition DH compared to Conventional DH,FR,Fixed O&M costs,-,-0.017550943,WEO-NP
Transition DH compared to Conventional DH,FR,Capital costs ,-,-0.025998769,WEO-NP
Transition DH compared to Conventional DH,FR,Net ,-,-0.110892591,WEO-NP
Future DH compared to Conventional DH,FR,Variable costs ,-,-0.599990006,WEO-NP
Future DH compared to Conventional DH,FR,Fixed O&M costs,-,-0.027883749,WEO-NP
