Scenario,Region,Commodity,Period,PV
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Variable costs ,-,-0.04031654
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Fixed O&M costs,-,-0.110320442
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Capital costs ,-,0.077793704
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Net ,-,-0.072843277
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Variable costs ,-,-0.483883132
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Fixed O&M costs,-,-0.101214871
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Capital costs ,-,-0.325753697
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DE,Net ,-,-0.9108517
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Variable costs ,-,-0.174540158
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Fixed O&M costs,-,-0.001996211
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Capital costs ,-,0.03828094
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Net ,-,-0.138255428
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Variable costs ,-,-0.987802502
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Fixed O&M costs,-,0.000801386
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Capital costs ,-,0.357511264
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,DE,Net ,-,-0.629489851
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,DK,Variable costs ,-,-0.281551213
